CNAE;DESCRIÇÃO;incomodidade_MEI
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais;2
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais;2
2541100;Fabricação de artigos de cutelaria;2
2542000;Fabricação de artigos de serralheria, exceto esquadrias;2
2543800;Fabricação de ferramentas;2
2543800;Fabricação de ferramentas;2
2599301;Serviços de confecção de armações metálicas para a construção;2
2599399;Fabricação de outros produtos de metal não especificados anteriormente;2
2740602;Fabricação de luminárias e outros equipamentos de iluminação;1
2950600;Recondicionamento e recuperação de motores para veículos automotores;2
3101200;Fabricação de móveis com predominância de madeira;2
3102100;Fabricação de móveis com predominância de metal;2
3103900;Fabricação de móveis de outros materiais, exceto madeira e metal;2
3104700;Fabricação de colchões;2
3211601;Lapidação de gemas;1
3211602;Fabricação de artefatos de joalheria e ourivesaria;1
3211603;Cunhagem de moedas e medalhas;1
3212400;Fabricação de bijuterias e artefatos semelhantes;1
3220500;Fabricação de instrumentos musicais, peças e acessórios;1
3230200;Fabricação de artefatos para pesca e esporte;1
3240099;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;1
3240099;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;1
3250708;Fabricação de artefatos de tecido não tecido para uso odonto-médico-hospitalar;1
3291400;Fabricação de escovas, pincéis e vassouras;1
3299001;Fabricação de guarda-chuvas e similares;1
3299002;Fabricação de canetas, lápis e outros artigos para escritório;1
3299003;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;1
3299004;Fabricação de painéis e letreiros luminosos;2
3299005;Fabricação de aviamentos para costura;2
3299099;Fabricação de produtos diversos não especificados anteriormente;2
3311200;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;3
3313901;Manutenção e reparação de geradores, transformadores e motores elétricos;2
3313902;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;5
3313999;Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;2
3314701;Manutenção e reparação de máquinas motrizes não-elétricas;2
3314702;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;2
3314706;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;2
3314707;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;2
3314709;Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório;1
3314710;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;2
3314710;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;2
3314710;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;2
3314710;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;2
3314711;Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;2
3314712;Manutenção e reparação de tratores agrícolas;2
3314719;Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;2
3314720;Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;2
3314799;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;2
3314799;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;2
3314799;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;2
3317102;Manutenção e reparação de embarcações para esporte e lazer;2
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;2
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;2
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;2
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;1
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;1
3321000;Instalação de máquinas e equipamentos industriais;1
3329501;Serviços de montagem de móveis de qualquer material;1
3600602;Distribuição de água por caminhões;1
3702900;Atividades relacionadas a esgoto, exceto a gestão de redes;3
3811400;Coleta de resíduos não-perigosos;2
3812200;Coleta de resíduos perigosos;3
3831901;Recuperação de sucatas de alumínio;2
3831999;Recuperação de materiais metálicos, exceto alumínio;2
3832700;Recuperação de materiais plásticos;2
3839499;Recuperação de materiais não especificados anteriormente;2
4321500;Instalação e manutenção elétrica;1
4322301;Instalações hidráulicas, sanitárias e de gás;1
4322301;Instalações hidráulicas, sanitárias e de gás;1
4322302;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
4322303;Instalações de sistema de prevenção contra incêndio;1
4329101;Instalação de painéis publicitários;1
4329102;Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;1
4329103;Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;1
4329104;Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;1
4329105;Tratamentos térmicos, acústicos ou de vibração;1
4329105;Tratamentos térmicos, acústicos ou de vibração;1
4330402;Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;1
4330403;Obras de acabamento em gesso e estuque;1
4330404;Serviços de pintura de edifícios em geral;1
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;1
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;1
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;1
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;1
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;1
4330499;Outras obras de acabamento da construção;1
4399103;Obras de alvenaria;1
4399105;Perfuração e construção de poços de água;1
4399199;Serviços especializados para construção não especificados anteriormente;1
4520001;Serviços de manutenção e reparação mecânica de veículos automotores;1
4520001;Serviços de manutenção e reparação mecânica de veículos automotores;2
4520001;Serviços de manutenção e reparação mecânica de veículos automotores;2
4520002;Serviços de lanternagem ou funilaria e pintura de veículos automotores;2
4520002;Serviços de lanternagem ou funilaria e pintura de veículos automotores;2
4520003;Serviços de manutenção e reparação elétrica de veículos automotores;2
4520004;Serviços de alinhamento e balanceamento de veículos automotores;2
4520004;Serviços de alinhamento e balanceamento de veículos automotores;2
4520005;Serviços de lavagem, lubrificação e polimento de veículos automotores;2
4520006;Serviços de borracharia para veículos automotores;2
4520007;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;2
4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;1
4530704;Comércio a varejo de peças e acessórios usados para veículos automotores;1
4530705;Comércio a varejo de pneumáticos e câmaras-de-ar;1
4541205;Comércio a varejo de peças, partes e acessórios para motocicletas, motos e motonetas, tanto novos quanto usados;2
4543900;Manutenção e reparação de motocicletas e motonetas;2
4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;5
